formation,"quels enseignements, absents de votre formation, vous auraient ete utiles ?"
Informatique et Gestion (IG),Web (angular et autre)
Genie Biologique et Agroalimentaires (GBA),Logistique Management de la distribution 
Systemes Embarques (SE - apprentissage),Apprentissage d'une langue etrangere en option(japonais chinois...)
Genie Biologique et Agroalimentaires (GBA),Analyse sensorielle 
Sciences et Technologies de l'Eau (STE),Des vrais projets en lien avec des professionnelles
Genie Biologique et Agroalimentaires (GBA),Des notions de base de marketing 
Sciences et Technologies de l'Eau (STE),Utilisation du logiciel Autocad 
Genie Biologique et Agroalimentaires (GBA),Le relationnel et la communication  La gestion de projet  Gestion du temps 
Microelectronique Et Automatique (MEA),Programmation en python
Sciences et Technologies de l'Eau (STE),Les fondamentaux de la commande publique les differents type de marches publics la gouvernance territoriale et les principaux acteurs du territoire la gouvernance de l'eau en France l'histoire de la gestion de l'eau et de la reglementation de l'eau et de l'assainissement en France la delegation de service public l'exploitation des services d'eau potable et d'assainissement collectif la protection de la ressource en eau face aux risques de pollutions (industrielles agricoles etc...) panorama de la consommation d'eau douce en France les droits devoirs et responsabilites des elus locaux la gestion des eaux pluviales (notamment via les solutions fondees sur la nature) l'assainissement ecologique (toilette seches recyclage des excrements etc...) etc... 
Microelectronique Et Automatique (MEA),Cours d'architecture de logiciel embarquee et de bonne maniere de coder en C. Introduction aux librairies HAL STM32 
Genie Biologique et Agroalimentaires (GBA),Approfondir les mises en situation  Les elements de langage et de communication 
Microelectronique Et Automatique (MEA),Conception de circuit electronique
Sciences et Technologies de l'Eau (STE),Autocad pcswim
Microelectronique Et Automatique (MEA),Mon metier ne correspondant pas directement a la formation que j'ai realisee il est normal que tous les enseignements ne soient pas utiles. 
Genie Biologique et Agroalimentaires (GBA),Notions de maintenance industrielle 
Informatique et Gestion (IG),Pouvoir se specialiser sur une techno ou un domaine de l'informatique 
Informatique et Gestion (IG),Aucun je pense que de facon generale enormement de domaine sont survoles. Il faut maintenant choisir lesquels approfondir.
Sciences et Technologies de l'Eau (STE),Gestion des outils metier : QGIS AutoCad etc ...
Eau et Genie Civil (EGC - apprentissage),Des enseignements sur la realite du terrain (management des ouvriers reunions...) enseignements sur la preparation d'un chantier dans la peau d'un conducteur de travaux (DICT calepinage notions sur les pieces en AEP et EU...) la reponse a appel d'offres des enseignements approfondis sur les montages de marche enseignements sur les etapes de realisation d'un projet detaillees (RAO a AOR). En general plus de notions sur le volet administratif sur la globalite d'un projet/realisation (meme si c'est pas le plus interessant) car il represente un tres gros volume de travail dans ce secteur et nous n'y sommes pas vraiment prepares. On peut donc etre tres perdus en arrivant dans le monde du travail.
Systemes Embarques (SE - apprentissage),Enseignement Ui et Ux
Materiaux (MAT),Des enseignements adapte au monde de l'aeronautique (mais cette remarque m'est surement personnelle). Modelisation (CATIA V5 Solidworks etc.)
Mecanique et Interactions (MI),Realiser des chiffrages 
Informatique et Gestion (IG),Comment gerer la vie professionnelle (relations humaines negocier des demandes...)
Informatique et Gestion (IG),Enseignement sur la securite au niveau technique : cryptographie protection des donnees base de donnees specifiques...  Enseignement sur l'architecture des systemes d'information au niveau technique : serveurs DNS certificat ...
Materiaux (MAT),Autocad 
Sciences et Technologies de l'Eau (STE),Modelisation hydraulique 3D
Sciences et Technologies de l'Eau (STE),Il manque des deplacements sur le terrain voire des journees avec des exploitants (STEP reseau AEP reseau EU pourquoi pas barrrages etc...).  La partie travaux qui me semble desormais importante aussi. Les cours que nous avons eu en GC sont tres clairement inutile (construction d'un batiment GANT rotation des camions etc ...)
Mecanique et Interactions (MI),Dynamique rapide
Sciences et Technologies de l'Eau (STE),Une initiation a Autocad aurait pu etre tres pratique !
Mecanique et Interactions (MI),Formations macro excel (omnipresent en entreprise et veritable plusvalue)
Informatique et Gestion (IG),Modelisation decisionnelle (Fait+ Dimension)
Informatique et Gestion (IG),Des cours sur le dev ops
Materiaux (MAT),?
Informatique et Gestion (IG),Securite Methode agile
Genie Biologique et Agroalimentaires (GBA),Techniques d'echantillonnage qualite 
Microelectronique Et Automatique (MEA),Reseaux 
Mecanique et Interactions (MI),Genie civil 
Microelectronique Et Automatique (MEA),introduction a la CEM pour la certification CE avec entre autres comment filtrer les signaux et quelques notions de routage pour eviter qu'une carte rayonne introduction a l'electronique de puissance
Eau et Genie Civil (EGC - apprentissage),Genie civil et TP
Sciences et Technologies de l'Eau (STE),Droit de l'environnement dossier loi sur l'eau dessins autocad genie civil ...
Eau et Genie Civil (EGC - apprentissage),Hydraulique (maritime fluvial)
Eau et Genie Civil (EGC - apprentissage),Gestion de budget
Eau et Genie Civil (EGC - apprentissage),Etude de projet (en tant qu'entreprise prive) Realisation de planning/budget chantier 
Genie Biologique et Agroalimentaires (GBA),Marketing  Gestion de budget  Gestion de projet  Retro planning 
Eau et Genie Civil (EGC - apprentissage),Gestion financiere  
Informatique et Gestion (IG),un petit peu de matiere litteraire serait un petit plus pour former un bon ingenieurs selon moi (philosophie cinema litterature ...)
Sciences et Technologies de l'Eau (STE),GC (tres peu d'heures en formation et tres theorique) + realite du terrain (plus de visites et d'echantillonnages) + environnement reglementaire a aborder dans le cadre d'un projet (code de l'environnement procedures reglementaires (Natura 2000 Loi sur l'Eau Etude d'Impact etc)
Informatique et Gestion (IG),Pas vraiment d'avis.
Informatique et Gestion (IG),L'apprentissage de l'agilite
Materiaux (MAT),Normes d'essais aeronautiques
Genie Biologique et Agroalimentaires (GBA),Management d'une equipe dialogue.
Systemes Embarques (SE - apprentissage),aucun
Systemes Embarques (SE - apprentissage),De la programmation en Rust. C'est l'avenir du C !!
Informatique et Gestion (IG),Droit Ecologie / Green IT (sans Green Washing) Cryptographie Analyse numerique Traitement d'image
Informatique et Gestion (IG),Gestion de projet (agile)
Mecanique et Interactions (MI),Commerce Negociation
Informatique et Gestion (IG),*
Systemes Embarques (SE - apprentissage),je pense que la formation est assez complete.
Mecanique et Interactions (MI),Nsp
Informatique et Gestion (IG),Des cours concernant la securite informatique (au niveau technique lors du developpement)
Mecanique Structures Industrielles (MSI - apprentissage),le management d'equipes (terrain) pour des postes tels que conducteur de travaux ou chef de chantier 
Microelectronique Et Automatique (MEA),Domotique 
Informatique et Gestion (IG),UI/UX Hacking/Securite (avec pratique) 
Mecanique Structures Industrielles (MSI - apprentissage),Les bases du VBA (oriente excel). La gestion de projet (rectifie sur les promotions suivantes). L'enseignement ''Qualite'' traite principalement des systemes de management de la qualite et non de leur application concrete (du moins pour le milieu de la chaudronnerie). 
Eau et Genie Civil (EGC - apprentissage),DAO  
Microelectronique Et Automatique (MEA),Cryptographie approfondie (analyse approfondie des types d'algorithme les normes en adequation avec la cybersecurite avec analyse des risques)
Genie Biologique et Agroalimentaires (GBA),Supply chain dans l'agroalimentaire 
Eau et Genie Civil (EGC - apprentissage),Chiffrage de projet
Mecanique Structures Industrielles (MSI - apprentissage),electromecanique
Informatique et Gestion (IG),Une formation sur les bases de donnees
Informatique et Gestion (IG),Cybersecurite cours sur les engagements autres de professionnels (associatifs...)
Microelectronique Et Automatique (MEA),Enseignements lies aux notion de Tests :  - Analyse et detection d'anomalie (logicielle d'architecture...) - Revue externe des taches realisees conformite au cahier de charge... 
Microelectronique Et Automatique (MEA),- Methodes et outils de versionning de code (Git notamment). Massivement utilise en entreprise et finalement assez peu mis en pratique a l'ecole...
Mecanique Structures Industrielles (MSI - apprentissage),Tout me sert
Microelectronique Et Automatique (MEA),Introduction aux technologies liees au cloud
Systemes Embarques (SE - apprentissage),Physique
Informatique et Gestion (IG),Dans mon cas un peu de culture de l'EDI m'aurait bien servi.
Systemes Embarques (SE - apprentissage),Package de certification et plus d'explication sur les normes tel que la DO-178
Genie Biologique et Agroalimentaires (GBA),Pour la filiere Genie Biologique et agroalimentaire : proposer des cours/interventions plus axees sur le domaine cosmetique 
Microelectronique Et Automatique (MEA),programmation vba/gestion logicielle pack office
Materiaux (MAT),Gestion de production Macro excel
Genie Biologique et Agroalimentaires (GBA),Expression orale
Mecanique Structures Industrielles (MSI - apprentissage),Ras
Informatique et Gestion (IG),Aucun
Materiaux (MAT),Decouvrir les metiers lies a la production et a l'exploitation dans une usine  
Sciences et Technologies de l'Eau (STE),Une introduction a l'Ingenierie civile (Comment creuser des trancher les batardeaux construire un bassin) des connaissances basiques juste descriptives  et mecanique dimensionnement des support de conduites selection des types de vannes materiaux de conduites 
Sciences et Technologies de l'Eau (STE),Mecanique
Materiaux (MAT),Management 
Mecanique Structures Industrielles (MSI - apprentissage),Management gestion des ressources RH
Systemes Embarques (SE - apprentissage),Integration continue
Microelectronique Et Automatique (MEA),des projets concrets plus tot dans la formation  en rapport avec l'industrie et l'entreprise
Informatique et Gestion (IG),DevOps
Informatique et Gestion (IG),J'ai eu un cours tres interessant a Polytechnique Montreal : Sociologie de la technologie tres utile pour comprendre la diffusion d'une technologie par exemple les rapports de forces lors de l'introduction d'une nouvelle technologie dans une entreprise etc. 
Materiaux (MAT),Commerce
Mecanique et Interactions (MI),Plasturgie methode industrielle
Materiaux (MAT),Organisation d'une entreprise
Materiaux (MAT),Materiaux Bois
Mecanique et Interactions (MI), Mecanique de la rupture
Microelectronique Et Automatique (MEA),Linux ROS Cmake
Sciences et Technologies de l'Eau (STE),Conaissance du fonctionnement des collectivites (comcom communaute d'agglomeration...) 
Mecanique et Interactions (MI),Une specialisation en derniere annee avec des partenariats avec l'unviersite ou d'autres ecoles (mecatronique biomecanique mais aussi genie civil nucleaire...?)
Sciences et Technologies de l'Eau (STE),Certains logiciels souvent demandes ( exemple: Autocad).
Mecanique et Interactions (MI),Maintenance mecanique
Genie Biologique et Agroalimentaires (GBA),Economie plus poussee Negociation 
Sciences et Technologies de l'Eau (STE),Reglementation environnementale Gestion et reponse aux appels d'offres Relation client
Sciences et Technologies de l'Eau (STE),Utiliser des logiciels utilises en entreprises (autocad) gestion des couts et organisation d'un projet
Sciences et Technologies de l'Eau (STE),L'aspect business et social de l'eau. 
Mecanique et Interactions (MI),Pour la conception mecanique :  nous apprendre les logiciels de CAO les plus utilises par les entreprises a savoir SolidWorks et Catia a la place de CREO.
Systemes Embarques (SE - apprentissage),X
Sciences et Technologies de l'Eau (STE),Pas d'avis 
Systemes Embarques (SE - apprentissage),Initiation a la recherche
Informatique et Gestion (IG),Certains enseignements etaient un peu depasses par rapport aux problematiques actuelles. Des cours sur l'eco-conception les architectures orientees evenements seraient des themes interessants a aborder.   
Sciences et Technologies de l'Eau (STE),0
Genie Biologique et Agroalimentaires (GBA),Developpement durable 
Genie Biologique et Agroalimentaires (GBA),Pharmaceutique et cosmetiques ( genie biologique) 
Genie Biologique et Agroalimentaires (GBA),Modelisation python (programmation)  language R avancee formation logistique 6 sigma
Genie Biologique et Agroalimentaires (GBA),Des enseignements sur les outils Lean avec des intervenants exterieurs ou des visites d'usine pour se rendre comte proposer de passer la green belt lors de la derniere annee de GBA option production en contrat de professionnalisation. Plus de cours sur le management d'equipe (hierarchique) mais egalement sur le management transversale. 
Materiaux (MAT),Des enseignements lies au monde de la production et du genie industriel
Materiaux (MAT),La finance : business plan
Materiaux (MAT),Gestion de projet.
Microelectronique Et Automatique (MEA),Linux
Materiaux (MAT),Le management d'equipe
Materiaux (MAT),Gestion des dechets et recyclage.
Materiaux (MAT),Microsoft Project
Mecanique et Interactions (MI),Il m'est complique de repondre aux questions 26 et 27. J'ai fait avec ce que j'avais et j'ai appris ensuite ce sont j'avais besoin pour un probleme particulier.   Un matiere dedie a la dynamique m'aurait ete utile. Et en meme temps j'avais tout le bagage theoriques et maths et Meca pour etre capable de comprendre rapidement des cours sur le sujet.   
Mecanique et Interactions (MI),Aucune pratique sur des machines-outil pour l'usinage => faire des TP d'usinage (machine CNC tour d'usinage...)
Mecanique et Interactions (MI),Design (esthetique) produits.
Genie Biologique et Agroalimentaires (GBA),Marketing/commerce meme pour les specialite autres que ITOI voire meme avant la 5eme annee. 
Mecanique Structures Industrielles (MSI - apprentissage),des cours en lien avec le management la negociation la gestion d'une equipe.
Mecanique Structures Industrielles (MSI - apprentissage),-Relation humaine -gestion d'equipe
Mecanique Structures Industrielles (MSI - apprentissage),Honnetement aucun c'etait tres complet 
Mecanique Structures Industrielles (MSI - apprentissage),Des applications completes sur des calculs de charpentes metalliques suivant les eurocodes.
Mecanique Structures Industrielles (MSI - apprentissage),/
Genie Biologique et Agroalimentaires (GBA),Management 
Mecanique Structures Industrielles (MSI - apprentissage),Atelier aussi bien en chaudronnerie qu'en mecanique 
Mecanique Structures Industrielles (MSI - apprentissage),Des cours generaux de management par exemple sur la gestion de conflit... et de droit.
Materiaux (MAT),Relation avec les entreprises  Gestion de projets 
Eau et Genie Civil (EGC - apprentissage),Sig Hec ras
Genie Biologique et Agroalimentaires (GBA),Management 
Genie Biologique et Agroalimentaires (GBA),Ras
Eau et Genie Civil (EGC - apprentissage),Lean Management et technique de communication 
Genie Biologique et Agroalimentaires (GBA),Des notions pour savoir negocier un contrat evaluer notre 'valeur'
Genie Biologique et Agroalimentaires (GBA),La transition ecologique liee a ma specialite Le enjeux en sortant d'ecole 
Mecanique et Interactions (MI),apprentissage Python
Materiaux (MAT),Nsp
Mecanique Structures Industrielles (MSI - apprentissage),Je ne sais pas 
Microelectronique Et Automatique (MEA),Gestion de projet 
Sciences et Technologies de l'Eau (STE),Formation aux marches publics formation en SIG et dessin industriel plus poussee droit environnemental avance.
Genie Biologique et Agroalimentaires (GBA),Management 
Genie Biologique et Agroalimentaires (GBA),Le marketing
Genie Biologique et Agroalimentaires (GBA),Marketing 
Materiaux (MAT),CAO
Genie Biologique et Agroalimentaires (GBA),Non concernee - j'ai developpe mon entreprise de bijouterie artisanale 
Genie Biologique et Agroalimentaires (GBA),Plus d'insertions professionnelles des journees decouvertes des differents metiers dans le secteur concerne
Informatique et Gestion (IG),Deep learning
Materiaux (MAT),Je n'en ai pas en tete.
Sciences et Technologies de l'Eau (STE),Formation EPANET qui dure plus qu'un TD
Materiaux (MAT),Des projets directement au sein des entreprises moins de projets de recherches et plus de projets dans l'industrie/production
Sciences et Technologies de l'Eau (STE),genie-civil dont une formation sur Autocad
Materiaux (MAT),Des enseignements relatifs a l'organisation des entreprise la structure des services de la hierarchie pour avoir une vision de quels services / postes pourrais nous correspondre   
Informatique et Gestion (IG),Creation d'entreprise 
Informatique et Gestion (IG),Compilers networking computer architecture (maybe) more computer science theory in general.
Microelectronique Et Automatique (MEA),-
Informatique et Gestion (IG),Tout ce qui est lie a la mise en production : environnement de test CI  dockers  deploiement etc. ca manque cruellement !
Informatique et Gestion (IG),/
Informatique et Gestion (IG),Data cloud
Informatique et Gestion (IG),Cours et TP de Cloud
Genie Biologique et Agroalimentaires (GBA),Business model canva au sein des enseignements sur l'innovation
Genie Biologique et Agroalimentaires (GBA),Modelisation  statistiques approfondies au traitement des donnees 
Materiaux (MAT),Plus acces developpement durable
Sciences et Technologies de l'Eau (STE),Geotechnique 
Genie Biologique et Agroalimentaires (GBA),-
Materiaux (MAT),Peut-etre plus de procedes polymeres en travaux pratiques (extrusion injection etc.)
Materiaux (MAT),Modelisation 3D
Informatique et Gestion (IG),Gestion de projet agile psychologie et travail/ gestion d'equipe
Eau et Genie Civil (EGC - apprentissage),Realisation de budget et suivi budgetaire ( bipo bapo revue d'actua. Enjeu du suivi budgetaire notamment impacts tresorerie etc.) Etude de prix notion de prix de ventes coef etc.
Microelectronique Et Automatique (MEA),PCB
Microelectronique Et Automatique (MEA),/
Microelectronique Et Automatique (MEA),Introduction aux technologies du cloud 
Microelectronique Et Automatique (MEA),Tout ce qui est relatif a la qualite (redaction d'exigences pour repondre aux demandes du client redaction de rapport de design etc ...) cours sur les attentes d'une entreprise envers un employe ... Et la meme en anglais car l'accent n'est pas assez mis sur l'anglais technique a mon sens (anglais qui permet de rediger des documents techniques). En general des cours moins axes techniques et plus axes developpement humain/ preparation au monde de l'entreprise.
Microelectronique Et Automatique (MEA),GIT environnement Linux
Informatique et Gestion (IG),Architecture (devOps)
Microelectronique Et Automatique (MEA),Je parle pour les personnes voulant integrer directement une entreprise: il nous manque vraiment des cours qui concernent les normes en entreprises les livrables style AMDEC analyse de risque et autre. La plus part de nos enseignants sont des chercheurs qui sont loin des problemes rencontres en entreprise lies a la comercialisation d'un produit etc... Il nous faudrait plus d'intervenants afin de se rendre compte avant le stage de fin d'etude de ce que sera notre metier plus tard. 
Mecanique et Interactions (MI),Manutention elingage nucleaire 
Mecanique et Interactions (MI),Calculs dynamiques
Mecanique et Interactions (MI),Ras
Mecanique Structures Industrielles (MSI - apprentissage),Gestion et suivi de projet (Lda/ldp/dsi/reunions interface avec les autres corps de metier mise en situation reel d'un deroulement d'activite en atelier ou sur un chantier)  C'est le plus gros manque quand on arrive dans un atelier ou sur un chantier connaitre les principes de deroulement les emplois clefs a reperer etc
Mecanique et Interactions (MI),Projet conception mecanique
Mecanique et Interactions (MI),Juridique : comment lire une fiche de paie/connaitre ses droits
Mecanique et Interactions (MI),Savoir etre en entreprise communication professionnelle management culture generale (ordres grandeur innovations entreprises et secteurs qualite francaises...)
Mecanique et Interactions (MI),Cours de developpement informatique pur
Microelectronique Et Automatique (MEA),POO (ex. Python) Linux embarque
Genie Biologique et Agroalimentaires (GBA),Outils management d'equipe 
Mecanique Structures Industrielles (MSI - apprentissage),Espagnol 
Eau et Genie Civil (EGC - apprentissage),L'accompagnement des profs en PEIP
Genie Biologique et Agroalimentaires (GBA),Pendant mon mastere specialise j'ai suivi des cours de sciences des aliments qui etaient appliques en cuisine : par exemple pour mieux comprendre le role de l'amidon on a fait des essais sur les macarons. Le principe etait dans un premier temps de comprendre le systeme et ensuite de modifier differents parametres (formulation et process) pour voir leur impact sur le produit fini. J'ai trouve ca tres efficace pour mieux comprendre les cours theoriques mais malheureusement je ne suis pas sure qu'il y ait encore de la place dans le programme pour ce genre de cours...
Materiaux (MAT),Statistiques appliquees a des etudes concretes au lieu de calcul theoriques fait a la main et sans application 
Informatique et Gestion (IG),Introduction aux outils informatique Jira jenkins
Sciences et Technologies de l'Eau (STE),Connaissances des acteurs du monde de l'eau publics comme prives
Informatique et Gestion (IG),Aucun
Microelectronique Et Automatique (MEA),Les outils de versionning (Git svn etc). Git a ete ajoute dans les cours de programmation micro-controleur donc c'est une bonne chose. Merci :) Un peu plus d'apprentissage autour de linux ... Beaucoup d'outils sont sur windows mais linux est beaucoup utilise pour le dev embarque notamment.
Sciences et Technologies de l'Eau (STE),l'apprentissage au moins des bases du logiciel Autocad
Sciences et Technologies de l'Eau (STE),Une introduction a des logiciels professionnel de type Autocad. Des connaissances sur les methodes constructives des process vues en cours. Un aspect exploitation de reseau et contraintes reseau. 
Sciences et Technologies de l'Eau (STE),Prise en main de logiciels utilises dans les entreprises autocad par exemple.
Sciences et Technologies de l'Eau (STE),Cours sur les appels d'offres 
Sciences et Technologies de l'Eau (STE),Initiation geotechnique en relation avec l'hydraulique (vis-a-vis des digues notamment)
Microelectronique Et Automatique (MEA),Diversifications des langages informatiques (vraiment pour dire quelque chose c'est deja bien Ce que l'on a eu) Dans mon boulot j'ai fait du LabView et du Excel(GBA)
Mecanique et Interactions (MI),/
Materiaux (MAT),financement montage de projet gestion
Sciences et Technologies de l'Eau (STE),- Formation logiciels de DAO : Autocad - Le diagnostic de reseau ASST : test a la fumee fluo diag etc - Les methodes de diagnostic AEP reseaux.  
Mecanique et Interactions (MI),gestion de budget projet qualite pour l'ingenieur (AMDEC plan de validation PDCA etc.)
Sciences et Technologies de l'Eau (STE),Meteorologie 
Sciences et Technologies de l'Eau (STE),Reglementation environnementale Gestion de projet Cote commercial
Sciences et Technologies de l'Eau (STE),Aucun
Genie Biologique et Agroalimentaires (GBA),Peut-etre plus de matieres qui nous feraient reflechir au dela des matieres scientifiques car je pense qu'il est important pour un ingenieur d'avoir une bonne comprehension du monde dans lequel il vit et de ses problematiques. 
Genie Biologique et Agroalimentaires (GBA),Psychologie autour de l'entreprise comprendre comment fonctionne l'entreprise au niveau des relations sociales et le droit des entreprises (ce a quoi on a droit ou non en tant que salarie) 
Genie Biologique et Agroalimentaires (GBA),La demarche de creation d'entreprise
Genie Biologique et Agroalimentaires (GBA),Management du personnel 
Genie Biologique et Agroalimentaires (GBA),Cours de Marketing
Genie Biologique et Agroalimentaires (GBA),Ordonnancement Developpement de produit
Informatique et Gestion (IG),Je pense que des cours de gestion de conflit seraient utiles au niveau humain. Dans notre metier la veille technologique est essentielle et ca serait un plus de savoir des le debut comment la mener et comment determiner les avantages et les inconvenients d'une technologie. Enfin sur un plan toujours plus technique apprendre des methodes de machine learning (IA) serait un gros avantage.
Informatique et Gestion (IG),Aucun
Materiaux (MAT),RAS
Materiaux (MAT),Des cours de gestion de projet plus appliques avec des gestions de budget de fournisseurs de clients etc.
Materiaux (MAT),Excel ?!
Materiaux (MAT),CAO conception Dessin industriel 
Materiaux (MAT),Un cours sur la geopolitque
Materiaux (MAT),Modelisation CAO 
Materiaux (MAT),J'ai pris l'option mecanique pour faire de la conception mais j'ai trouve ca manquant nous avons fait essentiellement (et uniquement le dernier semestre) de la simulation.  J'aurais aime avoir plus de base pour etre encore plus polyvalente a mon arrivee dans l'entreprise. Je vais donc etre formee au sein de HYCCO.
Materiaux (MAT),Tout ce qui touche a la reglementation des dispositifs medicaux (ISO13485 MDR2017/745)  
Materiaux (MAT),Design innovation filiere bois et materiaux biosources Il serait preferable de travailler par secteur d'activite avec des problematiques propres a ce secteur un projet avec des industriels etc. Plutot que d'avoir une succession de matiere et de cours n'ayant aucun lien les unes avec les autres et n'apportant rien d'autres que de la confusion et du desinteressement. 
Materiaux (MAT),Geologie et etude des mineraux mais c'est un domaine pointu qui n'aurait probablement peu interesse
Materiaux (MAT),Enseignement sur la CAO : tres lie aux materiaux 
Materiaux (MAT),Formulation
Materiaux (MAT),Je ne sais pas.
Microelectronique Et Automatique (MEA),Sport 
Microelectronique Et Automatique (MEA),la sensibilisation aux questions environemental et des cour plus techniques sur comment agir dans nos metier pour reduire l'impact environemental dans notre travail
Microelectronique Et Automatique (MEA),Travail sur le versionnage des projets (git...)
Microelectronique Et Automatique (MEA),Programmation  javascript / java 
Microelectronique Et Automatique (MEA),Des TP d'informatique sur STM32 directement c'est a dire lie les cours d'informatique pur aux cours d'apprentissage sur STM32 pourraient etre un ajout interessant au developpement de la formation.
Microelectronique Et Automatique (MEA),Conception mecanique (SolidWorks ...)
Microelectronique Et Automatique (MEA),NSP
Microelectronique Et Automatique (MEA),Programmation en JAVA informatique industrielle gestion demarche qualite
Microelectronique Et Automatique (MEA),Bases de l'IA
Mecanique et Interactions (MI),Realiser des projets concret de fabrication 
Mecanique et Interactions (MI),Excel est un outil tres utilise dans les entreprises et il aurait ete tres utile d'avoir des formations pour connaitre davantage ce logiciel.
Mecanique et Interactions (MI),aucuns
Mecanique et Interactions (MI),Je ne vois pas ce qui manque. L'experience est complementaire a la formation.
Mecanique et Interactions (MI),Tout est assez bien couvert.
Mecanique et Interactions (MI),Peut etre des cours d'introduction / d'utilisation des normes. 
Mecanique et Interactions (MI),Du prototypage
Mecanique et Interactions (MI),RAS
Mecanique et Interactions (MI),Tenus d'un budget
Sciences et Technologies de l'Eau (STE),Je pense que la formation est suffisamment chargee rajouter des enseignements serait a mon sens contre-productif.
Sciences et Technologies de l'Eau (STE),Je ne sais pas encore 
Sciences et Technologies de l'Eau (STE),Je pense que des cours permettant d'acquerir quelques connaissances sur le management pourraient servir meme si cela est peut etre un peu sur-anticipe.
Sciences et Technologies de l'Eau (STE),Une thematique marine  Des modeles statistiques d'evaluations de stocks plus pousses 
Eau et Genie Civil (EGC - apprentissage),Un module sur la creation d'entreprise pour avoir quelques bases.
Eau et Genie Civil (EGC - apprentissage),Visite de chantier Gros Oeuvre
Eau et Genie Civil (EGC - apprentissage),La fiscalite 
Systemes Embarques (SE - apprentissage),Management
Systemes Embarques (SE - apprentissage),Machine learning !!!! Du management
Sciences et Technologies de l'Eau (STE),Creation d'entreprise entrepreneuriat 
Mecanique et Interactions (MI),Fiscalite Genie des procedes de fabrication 
Genie Biologique et Agroalimentaires (GBA),Manager une equipe 
Materiaux (MAT),Qualite  Management d'equipe 
Materiaux (MAT),Materiaux pour la microelectronique
Materiaux (MAT),Un cours de metrologie : propagation des incertitudes etc. Un enseignement d'utilisation Excel : VBA macros solveur etc.
Microelectronique Et Automatique (MEA),Ecoconception  Diagrammes UML
Microelectronique Et Automatique (MEA),Gestion de budget gestion de projet plus important avec deadline 
Microelectronique Et Automatique (MEA),L'electronique de puissance les alimentations embarquees.
Microelectronique Et Automatique (MEA),Robotique industrielle et utilisation des technologies de production (PLC automates industriels robots...)
Microelectronique Et Automatique (MEA),L'utilisation de git
Microelectronique Et Automatique (MEA),management des risques gestion budgetaire d'un projet
Microelectronique Et Automatique (MEA),Initiation a l'IA
Microelectronique Et Automatique (MEA),Des cours de validation et tests technologiques (lors de la creation d'un nouveau systeme) Nous manquons globalement de culture electronique
Microelectronique Et Automatique (MEA),Conception responsable Management
Microelectronique Et Automatique (MEA),Management
Systemes Embarques (SE - apprentissage),Discussions commercial etc 
Microelectronique Et Automatique (MEA),Bonne question
Systemes Embarques (SE - apprentissage),Notions de cybersecurite Aspect financier gestion d'un budget projet plutot que comptabilite
Systemes Embarques (SE - apprentissage),-tout ce qui est lie aux CELLULES et BATTERIES on connait rien de tout ca en sortie de Polytech... DAMAGED POUR UNE FORMATION SYSTeMES EMBARQUES ! ! ! :D
Microelectronique Et Automatique (MEA),Aucun pour l'instant.
Systemes Embarques (SE - apprentissage),-Programmation de SoC : comment fonctionnent les couches reseaux (dans le cas de SoC de communication) ou comment utiliser un SDK (exemple Nordic ST...)
Microelectronique Et Automatique (MEA),Plus de securite 
Systemes Embarques (SE - apprentissage), 
Microelectronique Et Automatique (MEA),Cour sur les methodes d'apprentissage (Deep Learning Machine Learning)
Microelectronique Et Automatique (MEA), 
Systemes Embarques (SE - apprentissage),- Langages de programmations plus varies (java QT...) - Etudes systemes d'exploitation Linux plus pousse - Projet conception Objets connectes (IoT)
Sciences et Technologies de l'Eau (STE),Avoir de vrais projets sur des SIG (comme QGIS qui est gratuit)
Sciences et Technologies de l'Eau (STE),Quelques notions d'automatismes. 
Mecanique Structures Industrielles (MSI - apprentissage),Plus de travaux pratiques 
Microelectronique Et Automatique (MEA),des enseignements complementaires sur differents aspects de la microelectronique les differentes etapes de developpement d'un circuit...
Sciences et Technologies de l'Eau (STE),Reponses a des appels d'offres (redaction gestion de budget thermes techniques fonctionnement des collectivites...)
Sciences et Technologies de l'Eau (STE),QGIS et Autocad
Microelectronique Et Automatique (MEA),- Aborder le Python comme langage de programmation me semblerait utile. - Il pourrait etre interessant d'avoir un cours pour se rendre compte des differents metiers existant dans le monde professionnel et comment y acceder (metier de chercheur metiers de la microelectronique etc). Peut-etre que cela pourrait etre un module du cours d'insertion professionnelle. - Avoir une idee de comment fonctionne l'administration d'un systeme. Bien entendu nous n'avons pas besoin de l'approfondir autant que les IG mais c'est un axe essentiel dans plusieurs metiers.
