formation,annee obtention du diplome,vos remarques et commentaires relatifs a votre insertion professionnelle
Materiaux (MAT),2018,Je pense qu'on a peu de difficultes a s'inserer professionnellement avec un diplome d'ingenieur si on sait saisir les opportunites et pas rester sur un plan predefini 
Materiaux (MAT),2019,Je recommande vivement le contrat pro
Informatique et Gestion (IG),2019,Je regrette de m'etre focalise uniquement sur d'assez grandes entreprises. C'est plus securitaire et selon l'entreprise les perspectives d'evolution sont bonnes. Mais une bonne startup offre potentiellement des perspectives incroyable pratiquement des le depart (des parts de l'entreprise des positions comme staff engineer ou meme CTO assez rapidement).
Sciences et Technologies de l'Eau (STE),2018,Je remercie les enseignants de relayer les offres d'emploi et de faire vivre le reseau Polytech
Sciences et Technologies de l'Eau (STE),2019,Je serai ravie de donner des cours / participer a l'insertion des STE. 
Mecanique Structures Industrielles (MSI - apprentissage),2020,Je suis encore en apprentissage. Je ne peux pas vraiment repondre a cette question. 
Genie Biologique et Agroalimentaires (GBA),2020,Je suis restee ouverte a la proposition d'Altran meme si les essais cliniques sont un domaine que je connais peu en dehors du laboratoire. Je ne regrette pas car j'ai continue a etre formee et les connaissances que j'ai obtenue lors de ma formation a Polytech m'ont permises d'etre formee plus rapidement. Donc il ne faut pas avoir peur de s'engager si l'opportunite se presente c'est une chance. 
Sciences et Technologies de l'Eau (STE),2019,Je suis satisfait de mon insertion professionnelle et de l'aide qui m'a ete prodiguee par le reseau sur ce point. Il faudrait accentuer la formation sur les preparations aux concours de la fonction publique ainsi qu'une sensibilisation aux metiers lies a l'environnement dans l'ideal.
Genie Biologique et Agroalimentaires (GBA),2020,Je tiens a remercier l'equipe pedagogique pour son investissement et son ecoute durant mes trois annees de formation.
Eau et Genie Civil (EGC - apprentissage),2018,J'estime avoir recu tous les outils necessaires a mon insertion surtout avec la partie apprentissage qui m'a permis de me conformer aux attentes placees en moi
Genie Biologique et Agroalimentaires (GBA),2019,J'etais en Erasmus et je n'ai donc pas suivi la derniere annee de GBA a Polytech je n'ai donc pas de recul sur le programme de ce semestre..
Informatique et Gestion (IG),2019,La double competence apprise a Polytech Montpellier a ete tres importante dans mon insertion professionelle. Chloe Dalger travaillait dans la meme entreprise que moi nos competences larges en informatique mais aussi notre comprehension du monde profesionnel nous ont permis de partir dans differents domaines ( Analyses de donnees et Growth Hacking ) et de reussir nos missions.
Mecanique Structures Industrielles (MSI - apprentissage),2020,La formation doit demander / se renseigner sur les activites professionnelles de chacun (taches effectue pour un metier donne) pour ameliorer les enseignements et se rapprocher au plus pres des futurs metiers des etudiants.
Mecanique et Interactions (MI),2019,la formation MI :  -formateur sur beaucoup de points theoriques (equations differentielles et modelisation mathematique)  et appliques (simulation code Matlab/Python)  
Mecanique et Interactions (MI),2018,La formation MI me sert de base pour mon quotidien et je suis extremement heureux d'avoir recu une vision globale mais suffisamment poussee pour avoir un avis sur de nombreux sujets. Cela me permet d'avoir de la credibilite mais egalement de savoir quelles connaissances a ameliorer dans le but de resoudre les problematiques. La culture generale dans le domaine de la mecanique est extremement importante et permet de se reperer plus facilement.
Mecanique Structures Industrielles (MSI - apprentissage),2018,La formation MSI nous immerge dans la vie professionnelle de la 1ere a la 3eme annee sa force est l'apprentissage dans les entreprises et les interventions des professionnels au cours des enseignements.  La transition etudiant / salarie s'effectue facilement. 
Mecanique Structures Industrielles (MSI - apprentissage),2020,La plupart du temps cette insertion se fait dans l'entreprise qui a fait notre apprentissage et il ne faut pas hesiter a accepter l'offre pour se faire une premiere experience (tout en cherchant quelque chose d'autre a cote si besoin)  Eviter d'avoir des creux dans son parcours et toujours etre actif
Sciences et Technologies de l'Eau (STE),2019,La reputation de ma formation et le reseau Polytech ont favorise mon insertion professionnelle. 
Materiaux (MAT),2020,La situation de crise sanitaire/economique actuelle rend la recherche d'un emploi d'ingenieur materiaux tres difficile. Les entreprises embauchent peu et le peu d'offres disponible requiert souvent de l'experience inaccessible pour les jeunes diplomes.
Sciences et Technologies de l'Eau (STE),2020,La situation sanitaire actuelle fausse les reelles possibilites d insertion professionnelle. Il est beaucoup simple de trouver en hydraulique qu en environnement aussi. 
Mecanique Structures Industrielles (MSI - apprentissage),2019,L'alternance est un outil utile dans l'insertion professionnelle 
Mecanique Structures Industrielles (MSI - apprentissage),2018,L'alternance m'a permit d'etre plus sereine  et confiante. L'alternance apporte de l'experience dans le monde du travail qui est un vrai plus 
Sciences et Technologies de l'Eau (STE),2019,L'annee 2020 n'a pas ete de tout repos. Mon stage n'ayant pas aboutie a une offre d'emploi.
Eau et Genie Civil (EGC - apprentissage),2019,L'apprentissage est la meilleure insertion professionnelle possible. 
Materiaux (MAT),2019,Le choix du stage de fin d'etudes est important car la recherche peut etre complique sans la bonne experience des le debut.
Genie Biologique et Agroalimentaires (GBA),2018,Le contenu pedagogique est bien fait. Les TP combines au stage: un bon moyen de nous preparer a l'insertion professionnelle. 
Sciences et Technologies de l'Eau (STE),2019,Le contexte actuel n'est facile pour personne y compris les jeunes en sortie d'ecoles. 
Microelectronique Et Automatique (MEA),2020,Le contexte sanitaire est evidemment le principal probleme pour ma part. L'interet des entreprises pour l'embauche d'un profil sortant de MEA est toujours important et les offres ne manquent pas.   Sinon en realisant cette formation en MEA j'y ai trouve exactement ce que je cherchais a approfondir en terme de contenu de cours et je suis tres heureuse d'avoir suivi ces 3 ans.
Sciences et Technologies de l'Eau (STE),2019,Le contrat de professionnalisation realise lors de ma derniere annee de formation a ete un veritable tremplin pour mon insertion professionnelle (meme s'il n'a pas ete realise dans la meme societe que celle actuellement ou je suis).  Experience que je recommande vivement et qui meriterait d'etre encouragee davantage.
Mecanique et Interactions (MI),2020,Le contrat professionnel m'a grandement aide. Il permet d'avoir une experience du monde de l'entreprise que l'on ne peut pas avoir a l'ecole.
Materiaux (MAT),2019,Le cours d'insertion professionnelle etait bien structure avec pleins de contenu utile pour le developpement d'un bon CV de lettre de motivation etc. De plus les professeurs dedies a l'accompagnement tout au long de la recherche de stage ont ete tres solidaires et toujours disponibles pour discuter des doutes ou donner des conseils.
Sciences et Technologies de l'Eau (STE),2020,Le fait de realiser ma derniere annee en contrat de professionnalisation m'a permis de trouver un emploi a la sortie de l'ecole en etant directement embauche par mon entreprise. 
Informatique et Gestion (IG),2018,Le fait que Polytech ait des contacts a l'etranger que ce soit avec les professeurs ou les anciens eleves est un vrai plus. ca m'a permis d'avoir plusieurs experiences a l'etranger durant mon cursus scolaire. Et j'ai pu ainsi me rendre assez rapidement compte que c'est ce que je voulais pour la suite de ma carriere. Donc je recommande a tout le monde de saisir cette opportunite car meme si l'on reste en France par la suite partir decouvrir une activite professionnelle a l'etranger n'est que benefique pour la suite de sa carriere.
Genie Biologique et Agroalimentaires (GBA),2018,Le meilleur est a venir. 
Materiaux (MAT),2018,Les entreprises de conseil en ingenieurie (prestation) permettent de decouvrir differents secteurs industriels/postes et d'elargir nos competences. Mais la reconnaissance humaine et salariale y est basse voire inexistante. 
Genie Biologique et Agroalimentaires (GBA),2020,Les matieres etudiees en specialisation de 5A m'ont donne de solides bases pour mon stage et la recherche d'emploi. Meme si le contexte est difficile j'ai pu avoir plusieurs pistes qui n'ont pas forcement abouties. Aujourd'hui apres 5 mois de recherche j'ai tres certainement trouve un emploi un CDD de 3 mois minimum (dont le contrat n'est pas encore signe) que je devrais commencer le 25 Fevrier.
Eau et Genie Civil (EGC - apprentissage),2019,les premiers mois dans le monde professionnel son souvent difficiles et tres representatifs du fonctionnement des entreprises. Une fois ce cap passe on decouvre vraiment son metier !
Materiaux (MAT),2018,Les societes de conseil sont presque les seules a accepter des jeunes diplomes mais essayez de les eviter le plus possible. Il vaut encore mieux de l'interim.
Sciences et Technologies de l'Eau (STE),2020,Les stages sont des elements determinant pour votre insertion professionnelle il ne faut absolument pas les negliger. Plus on a un bagage professionnel important et de connaissances/competences plus il est facile de decrocher un premier emploi. C'est l'experience plus que la formation qui va vous differencier.
Microelectronique Et Automatique (MEA),2018,L'insertion a Montpellier est assez compliquee avec une tres grande majorite de poste en presta j'ai du changer de region pour trouver quelque-chose qui me plait 
Genie Biologique et Agroalimentaires (GBA),2020,L'insertion professionnelle a l'ecole devrait aller plus loin que juste preparer des cv et des lettres de motivation 
Sciences et Technologies de l'Eau (STE),2019,L'insertion professionnelle est compliquee car on a peu confiance en ses capacite en sortant de l'ecole car on a peu d'experience dans le monde du travail. On est vite laisse en proie a ce monde que l'on connait peu on nous en parle vaguement on nous dit que c'est pas la meme chose que les etudes mais on nous donne peu d'elements pour s'en sortir ou peu d'appuies par un enseignant pour un job. Par exemple l'enseignant qui est responsable du stage de l'eleve devrait l'accompagner et appuyer ses candidatures a la suite de son stage.
Informatique et Gestion (IG),2020,L'insertion professionnelle s'est faite plus facilement par les stagiaires ingenieurs que les alternants Miage notamment (70% des jeunes diplomes en concurrence) Cela est du a la capacite d'adaptation et aux competences relationnelles qui ont fait pencher la balance
Mecanique et Interactions (MI),2020,L'insertion se serait pour ma part parfaitement passee sans la pandemie qui a cause un gel des embauches. Polytech Montpellier semble assez reconnue en France et les entreprises semblent avoir confiance en ses enseignements. Le large panel de sujets mecaniques et informatiques abordes permet de pouvoir s'adapter dans des environnements tres differents (medical automobile aeronautique nucleaire...)
Systemes Embarques (SE - apprentissage),2019,Longue periode entre envoie du CV et reponse entretien etc..
Sciences et Technologies de l'Eau (STE),2020,Ma strategie qui consistait a ne pas aller a l'etranger pour faire un maximum de stages en France a ete gagnante. On a m'a ri au nez quand j'ai envisager de faire un erasmus ca m'aurait plu. 
Genie Biologique et Agroalimentaires (GBA),2019,Ma these a debute suite a une opportunite ce n'etait pas du tout un choix premedite. Grace a Polytech j'ai eu acces a des contacts qui m'ont permis de me diriger vers cette voie si stimulante. Avec le recul je crois qu'il faut se fier a son instinct et laisser place aux surprises !
Materiaux (MAT),2020,Malheureusement en pleine crise sanitaire la recherche d'emploi n'a pas ete simple. Finalement mon alternance a beaucoup joue dans mon recrutement et dans la negociation du salaire. Mais ce qui fait reellement la difference ce sont les 'soft skills'
Materiaux (MAT),2019,Meconnaissance du monde du travail et de ce que je pouvais apporter a l'entreprise. 
Mecanique Structures Industrielles (MSI - apprentissage),2020,Merci a la formation MSI car pas de problemes pour s'inserer dans la voie professionnelle 
Informatique et Gestion (IG),2018,Merci a Polytech pour m'avoir accompagne dans mes demarches !
Mecanique et Interactions (MI),2020,Merci Franck Nicoud
Eau et Genie Civil (EGC - apprentissage),2020,Mes annees d'apprentissage se sont bien deroulees cela a facilite l'embauche dans cette meme entreprise.
Materiaux (MAT),2020,Mes connaissances et competences en caracterisation des materiaux et en relations structure-proprietes ont ete tres appreciees lors de mes entretiens d'embauche et ont permis a ma candidature d'etre retenue.
Microelectronique Et Automatique (MEA),2020,M'etant oriente vers une these je ne peux pas parler de l'insertion professionnelle dans le milieu industriel. En revanche je recommanderai a de nombreux etudiants qui desirent aller plus loin que la formation de faire une these je pense que ca apporte beaucoup de choses.
Mecanique et Interactions (MI),2018,Mettre plus en avant la formation en alternance/contrat professionnalisation ce qui permet d'avoir plus d'experience professionnelle et donc une meilleure attractivite sur le marche du travail.
Materiaux (MAT),2019,Mon insertion a ete facilite par mes bonnes connaissances en eco-concept et analyse de cycle de vie me permettant de devenir responsable du pole eco-conception apres un an dans l'entreprise. 
Mecanique Structures Industrielles (MSI - apprentissage),2018,Mon insertion professionnelle a etait tres facile vu que j'ai ete embauche dans l'entreprise ou j'ai realise mon apprentissage. Avec l'experience que j'ai pu acquerir durant l'apprentissage et grace a la formation j'ai pu trouver un autre emploi facilement.
Mecanique Structures Industrielles (MSI - apprentissage),2020,Mon insertion professionnelle a ete facilite grace a la formation par apprentissage.  
Eau et Genie Civil (EGC - apprentissage),2020,Mon insertion professionnelle a ete facilitee par le fait d'avoir effectuer une alternance. 
Informatique et Gestion (IG),2019,Mon insertion professionnelle est atypique mais permet aussi de voir que ce diplome donne acces a de nombreuses possibilites et libertes. 
Genie Biologique et Agroalimentaires (GBA),2019,Mon insertion professionnelle s'est deroulee en 2 temps j'ai passe un an dans une entreprise ou le bien etre social n'etait pas la preoccupation premiere et ou les salaires etaient tres bas. Il m'a fallu etre patiente pour trouver une entreprise qui me correspondait mieux. 
Informatique et Gestion (IG),2020,Mon insertion professionnelle s'est faite dans la lancee de mon stage donc jusqu'a present je n'ai pas senti de difference de pression entre quand j'etais stagiaire et titulaire.
Materiaux (MAT),2019,Mon insertion professionnelle s'est tres bien passee. Il ne faut pas hesiter a etre curieux et poser des questions lors des premiers mois (cela montre la motivation et l'interet que l'on porte a son metier). 
Microelectronique Et Automatique (MEA),2020,Mon insertion s'est pour moi tres bien passee suite a un stage de fin d'etude enrichissant mais qui m'a egalement aider a me rendre compte que celui ci ne correspondait pas a mon projet professionnel j'ai effectuer de nombreuses recherches d'emploi dans le secteur de la Microelectronique jusqu'a avoir trouve l'opportunite qui correspondait exactement a ce que je voulais faire. Je voudrai finir en remerciant tous les enseignants de la formation MEA qui ont fait un travail remarquable et nous ont transmis leur savoir en nous faisant evoluer dans les meilleurs conditions possibles et dont la bienveillance a ete un atout essentiel de la formation. 
Genie Biologique et Agroalimentaires (GBA),2020,Mon insertion s'est relativement bien passee mais je regrette de ne pas avoir ete davantage encadree sur les possibilites d'evolution au sein de l'entreprise lors de mon stage de fin d'etudes. J'ai egalement eu la sensation de ne pas avoir ete encadree par l'ecole pendant le retour en entreprise suite au confinement de mars.
Genie Biologique et Agroalimentaires (GBA),2020,Mon stage de fin d'etude m'a permis d'obtenir un poste avant meme d'obtenir officiellement mon diplome. Ce sont ma motivation ma curiosite a travailler dans l'entreprise qui m'ont aide a avoir ce poste. Le challenge etait de construire presque entierement un pole production se rapprochant des grands industriels et cela par moi-meme (en ayant de l'aide evidemment). Ayant vu ma motivation a relever ce challenge l'entreprise m'a encourage en ce sens et est encore satisfait de gerer cette situation.
Genie Biologique et Agroalimentaires (GBA),2019,Motivation et perseverance pour trouver LE travail qui plait 
Microelectronique Et Automatique (MEA),2020,Nc
Microelectronique Et Automatique (MEA),2018,Ne pas hesiter a prendre contact avec des entreprise de taille 'modeste' les tres grosses entreprises peuvent manquer terriblement de reactivite et ne pas envoyer de reponse pendant plusieurs semaines. 
Mecanique et Interactions (MI),2019,Ne pas hesiter a voir plusieurs domaines avant de se specialiser 
Genie Biologique et Agroalimentaires (GBA),2018,ne pas rester dans une entreprise par habitude ou par confort
Systemes Embarques (SE - apprentissage),2018,Ne pas se mettre une pression non necessaire. C'est un premier emploi et tres certainement pas le dernier ou celui de votre carriere. Donc le premier choix parait stressant et definitif mais il ne l'est clairement pas et pleins de portes de sorties sont possibles pour changer et evoluer.
Systemes Embarques (SE - apprentissage),2019,Ne pas trop tenir compte du fait que je sois sans emploi. Car c'etait voulu a la fin de la formation pour un projet de voyage qui est finalement tombe a l'eau avec la crise sanitaire.
Microelectronique Et Automatique (MEA),2019,Ne perdez pas l'espoir de trouver un travail qui vous plait au milieu de toutes ces entreprises de consulting. ca peut decourager mais c'est possible et oser.
Microelectronique Et Automatique (MEA),2019,Ne se prononce pas car je me suis reoriente
Microelectronique Et Automatique (MEA),2018,N'infantilisez pas vos etudiants ne les jugez pas cherchez a connaitre leurs futurs metiers concretement transmettez vos experiences racontez ce qui vous passionne jouez avec des exemples concrets
Microelectronique Et Automatique (MEA),2020,Notre fon
Materiaux (MAT),2020,Objectif VIE apres l'alternance. 
Genie Biologique et Agroalimentaires (GBA),2018,On a ete bien accompagne en 5eme annee afin d'etre preparer aux entretiens d'embauche et a la preparation du CV ca a ete une aide indeniable dans la recherche du contrat pro
Mecanique Structures Industrielles (MSI - apprentissage),2018,On apprend enormement dans des petites structures meme si le rythme est plus soutenu la remuneration et avantages ne sont pas avantageux non plus mais on developpe une experience et un bagage solide. On voit et fait finalement plus de choses que dans des grosses entreprises dynamisme et polyvalence obligatoire. Eviter les grands groupes sauf si on aime 'rester dans une case' bien definie et on ne vise que les avantages. La majeure partie du travail consiste a faire de la politique pour son evolution de carriere et non rendre un projet viable et en temps voulu. Eviter les entreprisse de prestations 'boites a viande' sauf si elles peuvent servir de passerelle pour un emploi vise chez le client et/ou permettre une negociation de salaire interessante. Prendre ce qui est a prendre la difficulte des problemes en entreprise sont beaucoup plus simples que les pires equations posees en cours mais toute la difficulte reside dans les rapports sociaux hierarchiques et politiques. 
Mecanique et Interactions (MI),2019,Pas de commentaires
Microelectronique Et Automatique (MEA),2020,Pas d'insertion professionnelle pour le moment.
Materiaux (MAT),2019,Pas forcement evidement beaucoup de concurrence dans le domaine des materiaux
Sciences et Technologies de l'Eau (STE),2018,Pas grand choses a ajouter j'ai eu la chance de trouver mon emploi assez rapidement et assez facilement.
Mecanique Structures Industrielles (MSI - apprentissage),2018,Penser au reseau ! C'est un tres bon voir le meilleur moyen de s'inserer rapidement et durablement.  Le reseau se travail des l'ecole 
Informatique et Gestion (IG),2019,Personnellement j'ai la haine contre polytech qui ne m'a pas laisse aller faire un double diplome au Quebec alors que j'avais fait tout ce qui avait ete demande. Jamais de rattrapage participation a la vie de l'ecole (jpo salon de l'etudiant) toutes les reunions d'informations et un solide projet professionnel base sur la double competence de ce diplome. J'ai passe des mois et des mois a essayer de trouver une alternative j'ai meme failli refaire deux ans de formations a cause de ca. Apres 1an de recherche tres intensive mon diplome ne me permet tout simplement pas de faire le metier que je veux et j'ai fini par abandonner. J'ai change pour un projet dans l'ui Ux design toujours difficile a trouver mais au moins j'arrive a valoriser mon diplome.  Pour resumer moi qui ais passe deux ans a valoriser polytech je vous rend ce que vous m'avez donne : un total irrespect. Mon commentaire sur Google le decrit bien et les 20 000 lecture de celui ci (et les gens qui sont venu m'en parler via Facebook) me reconforte au moins dans l'idee que les futurs etudiants savent a quoi s'attendre chez vous. 
Systemes Embarques (SE - apprentissage),2020,Personnellement je me suis inscrite sur differents sites de recherche d'emploi je n'ai pas eu le temps de postuler que des employeurs m'ont contactes directement
Microelectronique Et Automatique (MEA),2018,Peu importe le niveau de competences techniques les aptitudes humaines de communication et d'esprit d'equipe sont tres importantes pour definir votre role dans l'entreprise meme si on occupe un poste technique il faut savoir gerer les relations humaines afin d'avancer savoir etre diplomate en situation difficile savoir communiquer ses pensees et ses objectifs. 
Genie Biologique et Agroalimentaires (GBA),2019,Plus complexe que ce qu'on m'avait presente lors de mon cursus 
Sciences et Technologies de l'Eau (STE),2020,Plutot difficile car je n'avais pas d'experience bureau d'etudes et peu de connaissances sur les logiciels de modelisation et cartographie 
Mecanique et Interactions (MI),2018,Plutot simple la these etait deja financee le recrutement a ete facile. Realiser la these est un peu plus complexe ^^
Informatique et Gestion (IG),2020,Pour l'instant je suis encore en train de decider si je dois faire un doctorat et je publie des articles. Je crois qu'avec la pandemie l'insertion professionnelle devient plus difficile et qu'il est difficile de trouver des emplois ou l'on accepte de nouveaux diplomes et sans experience.
Informatique et Gestion (IG),2020,Pour ma part tout s'est bien passe mon insertion professionnelle s'est faite rapidement et sans encombres.
Materiaux (MAT),2019,Pour ma part j'ai effectue mes stages de 4eme et 5eme annee chez EDF. Cela a vraiment oriente mon profil cote nucleaire. Ce n'etait pas forcement mon objectif au depart (plutot developpement durable on en est loin). J'ai accepte mon stage de 4eme annee par curiosite (et par necessite car il n'etait pas forcement facile de trouver un stage M1 en France en entreprise  Erasmus realise lors du dernier semestre). Ce premier stage m'a beaucoup interessee mais je ne me voyais pas forcement rester dans cette branche. J'ai eu egalement quelques difficultes a trouver un stage de derniere annee (car mon secteur geographique etait limite). J'ai trouve une autre offre chez EDF alors j'ai postule et j'ai ete acceptee.  Apres ces deux stages il etait un peu complique d'orienter mon CV autrement que vers le nucleaire. Ayant a nouveau des contraintes geographiques pour la recherche d'emploi j'ai trouve une annonce dans le nucleaire. Mes stages ont surement contribue a mon embauche.  Je ne regrette cependant pas cet emploi. La science derriere le nucleaire est passionnante.  
Microelectronique Et Automatique (MEA),2018,Pour ma part le fait d'avoir eu des enseignants issus de la recherche m'a beaucoup aide pour mon projet de these (informations contacts etc.). 
Informatique et Gestion (IG),2018,Poursuite dans l'entreprise de mon stage de 4A avec une equipe qui m'a plu et permis de prendre beaucoup de responsabilites et de libertes de par sa structure ( start-up).
Materiaux (MAT),2019,Premiere experience un peu compliquee. Probleme de contrat et salaire plus faible que prevu mais tres enrichissant au niveau technique et poste en adequation avec mon projet professionnel. Mon premier contrat m'a vraiment aide a obtenir le second dans un metier qui me correspond et ou j'applique chaque jour des choses enseignees a Polytech. 
Materiaux (MAT),2019,Proposer des formations complementaires a la suite du diplome : double diplome a l'IAE en ecole de commerce.  La formation ingenieure seule ne suffit pas a etre mature pour se lancer dans le monde professionnel. 
Mecanique et Interactions (MI),2018,Rapide 
Genie Biologique et Agroalimentaires (GBA),2018,RAS
Microelectronique Et Automatique (MEA),2018,RAS
Mecanique et Interactions (MI),2020,Ras
Sciences et Technologies de l'Eau (STE),2018,RAS
Systemes Embarques (SE - apprentissage),2019,RAS
Microelectronique Et Automatique (MEA),2019,Ras
Mecanique Structures Industrielles (MSI - apprentissage),2019,RAS
Mecanique et Interactions (MI),2018,Ras 
Informatique et Gestion (IG),2019,RAS sans soucis
Sciences et Technologies de l'Eau (STE),2018,Ravi de mes conditions de travail et des responsabilites qui me sont confiees. Tres satisfait de mon salaire egalement.
Mecanique et Interactions (MI),2020,Recherche de these tres faciliter grace aux professeurs ne pas hesiter a les solliciter !
Microelectronique Et Automatique (MEA),2020,Rester actif (recherche active autoformation) lors de la recherche d'emploi est primordial pour reussir a trouver un travail epanouissant savoir attendre une bonne opportunite aussi.
Microelectronique Et Automatique (MEA),2018,S/O
Sciences et Technologies de l'Eau (STE),2020,S'adapter aux entreprises car ce sont elles qui conditionnent notre avenir. Si le stage commence plus tot permettre a l'eleve de le faire quand meme ou inversement. etre plus conciliant et faire passer les choix de l'entreprise avant ceux de polytech en fonction des situations pour l'avenir de l'eleve.
Mecanique et Interactions (MI),2020,Sans objet 
Microelectronique Et Automatique (MEA),2020,Satisfait meme si pour l'instant salaire tres bas
Genie Biologique et Agroalimentaires (GBA),2018,S'entrainer aux entretiens pro
Genie Biologique et Agroalimentaires (GBA),2020,Si un stage peut etre un tres bon tremplin l'alternance reste la meilleure option pour l'insertion professionnelle. Je reconseille vivement de realiser une alternance dans le domaine souhaite en derniere annee car c'est une quasi garantie pour decrocher un premier emploi derriere. 
Informatique et Gestion (IG),2019,Suivre les evolutions techniques langages les plus demandes pour faire evoluer les langages enseigne en consequence
Sciences et Technologies de l'Eau (STE),2020,Tout a deja ete dit precedemment.
Informatique et Gestion (IG),2018,Tout c'est bien passe j'ai vite integre une entreprise un projet et je suis rapidement monter en competences. J'essaye au maximum de faire une veille informatique ca aide a se projeter a decouvrir des sujets qui nous interessent plus que ceux qu'on traite au quotidien.  
Genie Biologique et Agroalimentaires (GBA),2020,Tout etait tres bien organise 
Genie Biologique et Agroalimentaires (GBA),2020,Tres bonne insertion professionnelle le contrat de professionnalisation est d'une grande aide
Informatique et Gestion (IG),2020,Tres complique avec le Covid le fait de ne pas rester longtemps dans l'entreprise de son stage de fin d'etudes nuit beaucoup pour la recherche d'emploi
Materiaux (MAT),2018,Tres compliquee j'etais un peu dans la jungle en sortie d'ecole je n'etais pas qualifie pour la plupart des postes du fait de mon manque d'experience
Microelectronique Et Automatique (MEA),2019,Tres decu par le manque de serieux du monde professionnel que se soit chez Dassault Safran airbus Renault Peugeot ... . Il ne sont pas la pour vous aider a etre performant mais juste la pour vous mettre la pression devant les deadlines.
Materiaux (MAT),2019,Tres difficile de trouver un emploi. Meme avant le covid
Mecanique et Interactions (MI),2020,Tres difficile pour l'instant puisque pas de travail
Materiaux (MAT),2018,Une opportunite peut en cacher une autre. Tout est bon a prendre pour demarrer mais il faut quand meme se mefier des entreprises qui proposent de te reconvertir en 3 mois de formation  directement a la sortie de l'ecole. Il pourrait devenir complique de revenir a la formation initiale sans experience 
Informatique et Gestion (IG),2019,Voila maintenant 2 ans quasiment jour pour jour que j'ai termine les enseignements IG et je suis tres fier de mon parcours professionnel depuis. J'ai rejoins en stage de fin d'etudes l'entreprise Ippon Technologies en tant que Data Engineer avec laquelle j'ai continue en CDI. Dans cette structure j'ai l'occasion de progresser et d'apprendre dans le cadre de missions interessantes.  J'ai aussi ete moteur dans le process de recrutement de plusieurs IG dont les capacites techniques et soft skills sont tres apprecies par l'entreprise. La direction a d'ailleurs saisie l'occasion de monter un partenariat avec la filiere qui implique la proposition de projets industriels et des modules de cours/TD.   En parallele je me sens en accord avec mes valeurs dans mon job car mon entreprise s'engage dans des sujets RSE qui me touchent (fracture numerique en France et dans le Monde) et me donne la possibilite de m'y investir. 
Mecanique et Interactions (MI),2019,Voir au-dessus
Genie Biologique et Agroalimentaires (GBA),2019,Ras
Eau et Genie Civil (EGC - apprentissage),2020,L'apprentissage m'a permis de m'integrer directement dans l'entreprise dans laquelle je travaille aujourd'hui a l'international
Genie Biologique et Agroalimentaires (GBA),2020,J'ai des difficultes a negocier mon contrat je n'ai pas su negocier un salaire plus haut lorsque je suis passee en CDI des suites de mon CDD.
Materiaux (MAT),2019,Nsp
Mecanique Structures Industrielles (MSI - apprentissage),2019,Genial 
Sciences et Technologies de l'Eau (STE),2019,Il est difficile de trouver un metier dans la biologie et l'environnement  pour faciliter cette insertion il faut soi-meme faire des formations sur les marches publics et sur les principes de l'amenagement du territoire.
Genie Biologique et Agroalimentaires (GBA),2020,Non concernee - j'ai developpe mon entreprise de bijouterie artisanale 
Genie Biologique et Agroalimentaires (GBA),2020,Mon insertion professionnelle a ete la suite logique de mon cursus scolaire. Je n'ai pas eu de difficulte a trouver un travail 
Materiaux (MAT),2019,J'aurais pu rester quelques annees de plus dans mon entreprise afin d'obtenir l'experience professionnelle necessaire pour etre embauche ailleurs par la suite.
Materiaux (MAT),2019,J'aurais souhaite que l'ecole et les enseignants poussent plus a faire des formations complementaires a la suite du diplome d'ingenieur avoir par exemple un partenariat avec IAE et ecole de commerce.  Selon moi en sortie d'ecole d'ingenieur bien que la formation donnee apportent grandement sur le CV on est loin d'avoir la maturite d'un eleve en ecole de commerce lorsqu'on integre le monde de l'entreprise.  
Sciences et Technologies de l'Eau (STE),2019,/
Materiaux (MAT),2019,Difficile et cela n'est pas du qu'au COVID il m'a souvent manque une competence en plus des materiaux ( mecanique : CAO / DAO la maitrise d'un ERP ...) 
Microelectronique Et Automatique (MEA),2019,RAS
Informatique et Gestion (IG),2020,top
Informatique et Gestion (IG),2020,Comprehension des differents metiers accessibles des l'arrive en 3eme annee 
Informatique et Gestion (IG),2019,3 ans que j'ai termine les enseignements IG et je suis toujours tres fier de mon parcours professionnel. J'ai rejoins en stage de fin d'etudes l'entreprise Ippon Technologies en tant que Data Engineer avec laquelle j'ai continue en CDI et j'ai ete promu en 2021 en tant que Manager Technique (entretiens et suivi d'une equipe de 5 consultants juniors chez Ippon).   Dans cette structure j'ai l'occasion de progresser et d'apprendre dans le cadre de missions interessantes.  J'ai aussi ete moteur dans le process de recrutement de plusieurs IG dont les capacites techniques et soft skills sont tres apprecies par l'entreprise. La direction a d'ailleurs saisie l'occasion de monter un partenariat avec la filiere qui implique la proposition de projets industriels et des modules de cours/TD.    En parallele je me sens en accord avec mes valeurs dans mon job car mon entreprise s'engage dans des sujets RSE qui me touchent (fracture numerique en France et dans le Monde) et me donne la possibilite de m'y investir. 
Genie Biologique et Agroalimentaires (GBA),2019,Ne pas avoir peur de se lancer. Plus la marche est haute plus la satisfaction et la progression est grande !
Materiaux (MAT),2020,Ceux qui savent vouloir travailler dans la recherche (meme en entreprise) renseignez-vous sur les theses car c'est ce qui vous ouvrira le plus de portes. Postuler a des theses c'est a partir de mi-Mars pour obtenir les entretiens rapidement.  Courage aux futurs diplomes le COVID n'a pas encore fini d'impacter le monde professionnel malheureusement...
