formation,"quels enseignements, presents dans votre formation, vous paraissent inutiles ?"
Materiaux (MAT),Verre --> cours optionnel en alternance avec un autre cours plus approfondi sur les metaux par exemple  Economie (en tout cas dans sa forme actuelle)
Genie Biologique et Agroalimentaires (GBA),Nutrition microbiologie industrielle et autres dont j'ai oublie les noms 
Systemes Embarques (SE - apprentissage),Aucun
Genie Biologique et Agroalimentaires (GBA),RAS
Genie Biologique et Agroalimentaires (GBA),ca fait tros...
Materiaux (MAT),Communication 
Mecanique et Interactions (MI),Aucun 
Systemes Embarques (SE - apprentissage),NS plus
Mecanique et Interactions (MI),economies
Mecanique et Interactions (MI),Aucun
Genie Biologique et Agroalimentaires (GBA),Labview Physique Mecanique des fluides Spectroscopie Transfert Cinetique 
Genie Biologique et Agroalimentaires (GBA),Tous les enseignements ne m ont pas interesses de la meme maniere ils sont neanmoins tous utiles. Certains le seront plus que d autres selon les branches vers lesquelles on souhaite se tourner.
Microelectronique Et Automatique (MEA),Certaines conferences n'apportaient rien de nouveau. Environnement economique des entreprises : je ne vois pas vraiment l'interet a part pour la culture generale. Organisation et fonctionnement des entreprises : idem 
Microelectronique Et Automatique (MEA),Trop d'heure sur 'l'insertion professionel' selon moi...
Informatique et Gestion (IG),Les cours de maniere generale sont interessants car diversifies ce qui nous permets d'avoir une vision globale. Cependant il serait interessant de revoir le format en proposant des cours brefs mais tres riche. A mon sens le ratio temps passe/Apprentissage serait plus interessant. 
Materiaux (MAT),comprehension ecrite /orale 
Genie Biologique et Agroalimentaires (GBA),Pas d'enseignements inutiles cela depend du service dans lequel on veut travailler
Informatique et Gestion (IG),Aucune cela depend de l'avenir de chacun
Mecanique et Interactions (MI),-
Microelectronique Et Automatique (MEA), 
Genie Biologique et Agroalimentaires (GBA),Ras
Materiaux (MAT),Aucune
Materiaux (MAT),Physique statistique (trop theorique et trop peu d'application pour un ingenieur)
Materiaux (MAT),.
Mecanique Structures Industrielles (MSI - apprentissage),/
Eau et Genie Civil (EGC - apprentissage),/
Mecanique et Interactions (MI),-
Sciences et Technologies de l'Eau (STE),Espagnol car cours desastreux Environnement economique des entreprises  OFE 
Sciences et Technologies de l'Eau (STE),Aucun
Genie Biologique et Agroalimentaires (GBA),Les matieres trop specifiques a un metier en particulier 
Microelectronique Et Automatique (MEA),Formation un peu trop large et pas moyen de la personnaliser.
Eau et Genie Civil (EGC - apprentissage),Elements finis
Sciences et Technologies de l'Eau (STE),Ne se prononce pas
Informatique et Gestion (IG),je ne me souviens plus du noms de ces cours mais en general tous ce qui est etude de cas avec long rapports de 30 pages sans aucun travaux pratiques.  Le seul avantage c'est qu'on s'entraine a ecrire des comptes-rendus chose qui est tout aussi possible avec d'autres UE bien plus modernes et concretes.
Eau et Genie Civil (EGC - apprentissage),x
Genie Biologique et Agroalimentaires (GBA),/
Informatique et Gestion (IG),Aucun inutile mais certains peu utile comme graph et compilation par exemple. Je pense qu'ils pourraient etre utile s'ils etaient retravaille notamment compilation.
Sciences et Technologies de l'Eau (STE),X
Mecanique et Interactions (MI),Communication
Mecanique et Interactions (MI),Les cours presents lors d'un seul semestre que nous ne retrouvons pas dans d'autres matieres : bref qui sortent de notre tete en meme pas une annee. 
Microelectronique Et Automatique (MEA),Aucun
Eau et Genie Civil (EGC - apprentissage),RAS --> Rien n'est inutile
Informatique et Gestion (IG),Automates Java (pas inutile mais traine en longueur et nous apprend des mauvaises pratiques qui etaient bonnes il y a 20 ans)
Sciences et Technologies de l'Eau (STE),Economie allemand ecologie (si la branche cible n est pas en accord direct)
Materiaux (MAT),Je ne pourrais pas dire que certains sont inutiles ca depend des sensibilites des personnes & de leur projet pro.
Sciences et Technologies de l'Eau (STE),Aucun globalement le but de la formation STE c'est d'etre polyvalent dans le domaine de l'eau ce n'est pas en enlevant des matieres que l'on va rester polyvalent (je rappelle que je n'ai pas fait la 5ieme annee car semestre a l'etranger).  J'admettrai quand meme un certain desamour pour l'espagnol mais ca ce n'est que personnel.
Sciences et Technologies de l'Eau (STE),Communication
Sciences et Technologies de l'Eau (STE),Hydraulique (desinteret pour la matiere...)
Sciences et Technologies de l'Eau (STE),Aucun
Microelectronique Et Automatique (MEA),Je ne vois pas 
Microelectronique Et Automatique (MEA),Netvibes et les jeux d'entreprises 
Informatique et Gestion (IG),Tout les cours ont pour but d'apporter de l'information nouvelle et donc servir a l'eleve. Il s'agit ensuite de voir comment cette matiere est enseignee le lien qui est fait avec les autres cours (le fil conducteur de la formation) la facon dont elle est evaluee. Encore une fois je pense qu'il faut donner du sens a tous les cours que font les eleves. Certain cours sont dispenses sans que l'eleve sente qu'il a quelque chose a y gagner et donc l'eleve a l'impression de perdre son temps.
Materiaux (MAT),Ceux dispenses par des professeurs qui ne font que lire leur diaporama. Nous avons un iPad fourni pour etudier et le diaporama en question sous les yeux : si c'est pour ecouter une personne nous faire la lecture nous pouvons tres bien le faire seul.
Systemes Embarques (SE - apprentissage),Linux economie electronique de puissance graph et VHDL
Mecanique Structures Industrielles (MSI - apprentissage),L'electricite  
Eau et Genie Civil (EGC - apprentissage),Des enseignements cibles sur l'eau type etudes des poissons
Eau et Genie Civil (EGC - apprentissage),Aucun ils sont tous une ouverture a de nouveaux sujets.
Genie Biologique et Agroalimentaires (GBA),Etant dans le secteur medical il est difficile d'en juger aujourd'hui car je ne me sers pas du tout de ceux lies a l'agroalimentaire donc beaucoup me paraissent inutiles a titre personnel. 
Sciences et Technologies de l'Eau (STE),Filieres de traitement de l'air.
Sciences et Technologies de l'Eau (STE),Difficile a dire toutes sont importantes selon son projet professionnel 
Informatique et Gestion (IG),Mathematiques 
Mecanique et Interactions (MI),LV2 Partie sante
Informatique et Gestion (IG),ESPAGNOL 
Systemes Embarques (SE - apprentissage),La comptabilite trop rapide pour etre vraiment utile. Le jour ou on en a vraiment besoin pour la creation ou gestion d'une entreprise je pense qu'une formation est necessaire. Peut-etre aussi parce que j'avais deja appris les bases en DUT.
Eau et Genie Civil (EGC - apprentissage),Cours de commerce qui n'ont rien a voir avec le commerce effectue par un ingenieur.
Genie Biologique et Agroalimentaires (GBA),Calcul reacteur  Analyse numerique  Modelisation bases de donnees Commecticiels 
Mecanique et Interactions (MI), 
Systemes Embarques (SE - apprentissage),Les enseignements du genre : je deroule un PPT et je fais un quizz a la fin du module... 
Eau et Genie Civil (EGC - apprentissage),l'anglais  Non c'est une blague  Dans mon metier je n'utilise pas la notion de station d'epuration par exemple mais cela est propre a chacun ...
Eau et Genie Civil (EGC - apprentissage),Mathematique des milieux infinis
Sciences et Technologies de l'Eau (STE),Le projet de creation d'entreprises inter sections 
Genie Biologique et Agroalimentaires (GBA),Transfert Calcul de reacteur Enzymologie
Microelectronique Et Automatique (MEA),Desequilibre avec des matieres techniques qui laissent peu de place a des enseignements de gestion de projets omnipresents dans le travail d'un ingenieur 
Mecanique Structures Industrielles (MSI - apprentissage),La partie informatique
Materiaux (MAT),Meme si c'est important les cours d'economie
Materiaux (MAT),Mecanique J'ai fait une reconversion professionnelle
Materiaux (MAT),Cristallographie chimie du solide. 
Microelectronique Et Automatique (MEA),Je trouves que tous les enseignements sont utiles. Personnellement l'ordre dans lequel arrivent les enseignements ne me correspondait pas (pour une minorite des enseignements).
Mecanique Structures Industrielles (MSI - apprentissage),La formation possede un module 'nucleaire' mais celui-ci est tellement anecdotique qu'il devrait etre supprime
Informatique et Gestion (IG),Le projet inter-filiere (Inutile) je ne me rappelle plus exactement du cours mais c'etait un cours ou on a eu une personne qui nous a dit qu'il fallait venir en costard au boulot (absolument faux) nous a donne de terribles conseils a juge la facon de s'habiller de certaines filles... L'apprentissage des methodes MERISE (Je ne les utilise JAMAIS) le droit (Surtout pour entendre la prof faire des remarques desobligeantes...)
Genie Biologique et Agroalimentaires (GBA),Je trouve que les cours de cette formation sont plutot tous complementaires et necessaires.
Systemes Embarques (SE - apprentissage),le cours/intervention d'un type de chez ST sur les micros.  (((pour mon projet professionnel:  moins de numerique ex:  FPGA - Ana num Pour ajouter plus de modules hardware)))
Mecanique et Interactions (MI),4A : Volumes finies 4A : Accompagnement projet pro / lettre de motivation et CV La personne incompetente et pas vraiment de suivi arrive bien trop tard.  Notre prof referant faisait l'affaire. 4A : Plan d'experience Pas assez de pratique tres interessant sur le fond mais pas du tout de mise en pratique donc inutile 
Systemes Embarques (SE - apprentissage),La formation systeme embarques est tres generale je trouve qu'il n'y a pas d'enseignement inutiles. Les alternant se 'specialisent' dans un domaine en entreprise et il est normal que la formation couvre tous ces 'domaines de specialisation'. Ce qui peut sembler inutile ou pas interessant pour une personne le sera pour une autre. 
Informatique et Gestion (IG),Algo avance - Automates :)
Sciences et Technologies de l'Eau (STE),de facon generale aucun n'est inutile ils servent juste plus ou moins selon le poste que l'on occupe ensuite.
Materiaux (MAT),Dans mon cas : - Programmation informatique - Tous les cours de physique avec Rosen Leparc... Peut-etre sont-ils trop theoriques pour un metier d'ingenieur. Je pense que ces cours auraient d'avantage leurs place dans des cursus visant a former des chercheurs... Ou alors en option pour les etudiants qui se savent vouloir travailler en R&D sur des domaines tres precis necessitant ce genre de connaissance.
Materiaux (MAT),La Resistance des Materiaux n'est selon moi pas enseignee de maniere ce que l'on retienne quoi que ce soit d'utile que l'on puisse appliquer a la vie quotidienne.
Microelectronique Et Automatique (MEA),Netvibes encore et toujours 
Genie Biologique et Agroalimentaires (GBA),Pour ma part comme je n'ai pas choisi d'evoluer dans cette branche : cours tres approfondis sur la technologie de production - ces cours ne m'ont donc jamais servis 
Genie Biologique et Agroalimentaires (GBA),L'ensemble des enseignants presents dans la formation me semblent utiles ne serait-ce que sur le plan de la culture generale.
Sciences et Technologies de l'Eau (STE),Organisation et fonctionnement de l'entreprise
Materiaux (MAT),Espagnol Economie
Sciences et Technologies de l'Eau (STE),Etude des vegetaux 
Genie Biologique et Agroalimentaires (GBA),Je ne sais plus
Genie Biologique et Agroalimentaires (GBA),Je n'en vois pas. 
Eau et Genie Civil (EGC - apprentissage),Rien a signaler
Mecanique et Interactions (MI),Aucun
Systemes Embarques (SE - apprentissage),Peut-etre un cours sur le filtrage et l'amplification analogique trop approfondie. La pratique dans le developpement de carte microelectroniques. Trop de theorie en VHDL. La discipline 'Insertion professionnelle' pourrait etre allegee.
Materiaux (MAT),Rdm
Materiaux (MAT),Tous
Sciences et Technologies de l'Eau (STE),Je trouve que les cours theoriques de bio en 3A sont assez lourds et ne m'ont jamais servi dans mon cursus.  
Mecanique Structures Industrielles (MSI - apprentissage),Les enseignements en gestion de production et base de donnees
Genie Biologique et Agroalimentaires (GBA),Trop de matiere en lien avec la prod (mecanique des fluides thermodynamique transfert...)
Sciences et Technologies de l'Eau (STE),Aucun.
Genie Biologique et Agroalimentaires (GBA),Les cours de derniere annee concernant la mise en page sur Word l'utilisation d'Excel creer un Powerpoint etc. En effet ce cours aurait ete utile la premiere annee mais pas apres 3 annees de formation ou nous avons pratique Word Excel Powerpoint maintes et maintes fois. Ce cours a ete pour moi inutile car arrive trop tard dans la formation.
Eau et Genie Civil (EGC - apprentissage),Je considere tout mes enseignements comme etant utiles certains de maniere plus ponctuelle que d'autre
Informatique et Gestion (IG),Les cours de mathematiques ne m'ont pas servi lors de mes experiences professionnelles 
Mecanique Structures Industrielles (MSI - apprentissage),- Gestion de production : Logiciel etudie non employe dans notre secteur d'activite (chaudronnerie soudage). - Transfert thermique : les approches theoriques etudiees n'ont aucunes applications dans le monde industriel. Axe d'amelioration : savoir utili
Mecanique et Interactions (MI),Difficile de repondre a cette question dans la mesure ou je trouve que la formation reussit deja quelque chose de difficile : donner une vision globale de l'immensite de domaines et competences que represente la mecanique. Tout dependra du poste vise/occupe. Si je devais en citer une je dirais la robotique/robotique medicale qui a mon sens avait trop d'heures allouees.
Mecanique Structures Industrielles (MSI - apprentissage),Aucun enseignement est inutile. 
Mecanique Structures Industrielles (MSI - apprentissage),Il n'a pas d'enseignements qui paraissent inutiles. En fonction de nos domaines certaines sont plus utiles que d'autres mais l'ensemble contribue a notre culture d'ingenieur
Sciences et Technologies de l'Eau (STE),/
Mecanique Structures Industrielles (MSI - apprentissage),La chimie presente dans la formation etait d'un niveau bas et non utile dans le monde professionnel (resolution d'equation chimique...) 
Mecanique Structures Industrielles (MSI - apprentissage),Pour moi il n'y en a pas
Sciences et Technologies de l'Eau (STE),Rien
Eau et Genie Civil (EGC - apprentissage),Base de donnees
Materiaux (MAT),Les enseignements trop theoriques car ils ne servent quasiment jamais dans le monde de l'entreprise.
Genie Biologique et Agroalimentaires (GBA),Algorithme 
Microelectronique Et Automatique (MEA),- Le cours sur la veille technologique n'a pas ete utile du tout. L'apprentissage de la plateforme Netvibes est tres douteuse. Malgre cela la veille technologique est importante et j'imagine qu'il serait possible de rendre ce cours pertinent en le transf
Sciences et Technologies de l'Eau (STE),Rien n'est inutile a proprement parler j'ai eu du mal avec le module Entrepreneuriat mais je ne le qualifierais pas d'inutile (il peut servir a certains).
Mecanique et Interactions (MI),aucun cours n'est inutile meme si je ne me sers jamais de certaines notions elles elargissent ma culture d'ingenieur 
Materiaux (MAT),-
Sciences et Technologies de l'Eau (STE),Les enseignements de deuxieme langue (comme Espagnol ou Allemand) pourraient etre optionnels en fonction des projets professionnels. 
Genie Biologique et Agroalimentaires (GBA),Aucun. Mais les cours theoriques a 100% sont inutiles sur le terrain. Plusieurs logiciels existent qui font tres bien les calculs (VBA R Minitab Matlab Python etc.) dont il faut juste connaitre les input et interpreter les outputs. Il faudrait initier les GBA a ces logiciels et langages de programmation. Ce sont des competences hautement recherchees et transversales. 
Materiaux (MAT),Mathematiques pousses
Materiaux (MAT),Pas d'enseignements inutiles.
Microelectronique Et Automatique (MEA),Espagnol ondes
Sciences et Technologies de l'Eau (STE),Aucune idee tout parait utile
Mecanique et Interactions (MI),Rien ne m'a paru inutile.  Certains enseignements ne m'ont pas personnellement beaucoup aide (comme les ateliers de creation de CV et lettres de motivation les cours d'anglais) ils ont pu l'etre pour d'autres personnes et ne sont donc pas inutiles.
Sciences et Technologies de l'Eau (STE),Les cours de Mme Rodhain de Mme Breton (y compris le projet de groupe inter-filiere qu'elle mene) 
Genie Biologique et Agroalimentaires (GBA),RAS
Materiaux (MAT),Les matieres trop theoriques : physique du solide thermodynamique MASC Physique statique maths... qui seraient utiles pour s'orienter vers une these mais ce n'est pas le but de Polytech
Materiaux (MAT),Aucun.
Mecanique Structures Industrielles (MSI - apprentissage),Informatique (Base de donnees) Comptabilite  Economie  Statistique 
Informatique et Gestion (IG),Aucun tous les enseignements etaient importants.
Mecanique et Interactions (MI),Automatique mecatronique etc mais cela est specifique a mon activite.
Eau et Genie Civil (EGC - apprentissage),La continuite ecologique des cours d'eau.
Materiaux (MAT),Les debouches de ma formation etant tres divers tous les enseignements peuvent etre utiles selon le debouche.
Microelectronique Et Automatique (MEA),Gestion d'entreprise Enjeux informationnels de l'entreprise Innovation Durable et entrepreneuriat responsable
Mecanique et Interactions (MI),Aucun
Materiaux (MAT),Enseignement materiaux management de projet Eco-conception
Mecanique Structures Industrielles (MSI - apprentissage),La chimie 
Mecanique Structures Industrielles (MSI - apprentissage),o
Eau et Genie Civil (EGC - apprentissage),Traitement des eaux Microbio 
Informatique et Gestion (IG),Aucun
Materiaux (MAT),RDM composites et polymeres (car peu de besoin d'etudier ces matieres).
Microelectronique Et Automatique (MEA),Aucun des enseignements 'techniques' ne parait inutile cependant certains enseignement type 'science molles' paraissent parfois peu utiles ou alors redondant avec d'autes et dont le volume horaires pourrait etre exploite pour approfondir des matieres techniques. Cela concerne pour moi par exemple l'enseignement sur la veille numerique ou encore celui sur la communication qui ne necessite peut etre pas une matiere dediee etant donne que ses aspects sont abordes durant les enseignements d'anglais. Ayant suivi la specialite Microelectronique je trouve egalement que certains enseignements suivis en quatrieme et cinquieme annee relatifs a l'automatique / la robotique n'ont pas enormement d'interets car 'survolent' trop le sujet malgre le volume horaire associe. Selon moi il faudrait pour ces enseignements 'communs' reduire le nombre de matieres et approfondir sur celles retenus en ajoutant de la pratique coherente avec les connaissances et competences enseignees en cours magistral. (Ceci n'est qu'un ressenti personnel en temps qu'eleve ayant suivi la specialite Microelectronique).
Genie Biologique et Agroalimentaires (GBA),Nutrition Economie ou assimiles
Systemes Embarques (SE - apprentissage),Droit en entreprise 
Microelectronique Et Automatique (MEA),Nc
Genie Biologique et Agroalimentaires (GBA),thermodynamique des fluides 
Systemes Embarques (SE - apprentissage),Certains enseignements de ma formation me sont inutiles aujourd'hui a cause de mon choix d'emploi. Mais si j'avais suivi une autre voie ils auraient ete utiles.
Microelectronique Et Automatique (MEA),Ne se prononce pas car je me suis reoriente
Microelectronique Et Automatique (MEA),Tous peuvent etre utiles mais une majorite ne l'est pas pour une personne specifique
Microelectronique Et Automatique (MEA),Tous
Mecanique Structures Industrielles (MSI - apprentissage),o
Mecanique et Interactions (MI),cours de Communication 
Microelectronique Et Automatique (MEA),Programmation Android (5A) : Trop chronophage pour peu d'approfondissement Innovation Durable et Entreprenariat Responsable (5A) : Trop chronophage pour aucun apport (la comptabilite est revue dans le cours de Gestion d'Entreprise)  Enjeux Informationnels dans l'entreprise (Veille technologique) : cours et outil inutile 
Sciences et Technologies de l'Eau (STE),Microbio
Mecanique Structures Industrielles (MSI - apprentissage),Transfert thermique cours tres utile mais methodologie obsolete 
Informatique et Gestion (IG),Le cours de compilation (meme si l'enseignant est tres bon) 
Sciences et Technologies de l'Eau (STE),Communication 
Mecanique et Interactions (MI),Economie en 3a
Informatique et Gestion (IG),RAS
Materiaux (MAT),Voir la reponse 61
Microelectronique Et Automatique (MEA),SQL
Informatique et Gestion (IG),Projet inter-section de creation d'entreprise en 5A : redondant avec des cours IG et trop lent. LV2 ?
Materiaux (MAT),Trop de science abstraite pas assez d'accompagnement dans les softs skills
Genie Biologique et Agroalimentaires (GBA),Rien d'inutile je pense juste des matieres qui ne me servent plus du tout (ex : thermodynamique transfert ...) mais c'est parce que je suis labo et pas prod
Microelectronique Et Automatique (MEA),ondes signaux
Mecanique et Interactions (MI),RaS
Sciences et Technologies de l'Eau (STE),Aucun. Cependant la repartition des cours entre les annees devrait etre optimisee certains courts tres interessants sont le plus souvent donnes par des intervenanr exterieurs qui permettent de decouvrir certains aspects du monde de l'entreprise mais de maniere trop succincte 
Systemes Embarques (SE - apprentissage),-
Microelectronique Et Automatique (MEA),Ras
Mecanique Structures Industrielles (MSI - apprentissage),RAS
Mecanique et Interactions (MI),Sans reponses 
Sciences et Technologies de l'Eau (STE),Sans commentaire
Mecanique et Interactions (MI),droit d'entreprise...
Microelectronique Et Automatique (MEA),Les reseaux de Petri le VHDL le C++
Sciences et Technologies de l'Eau (STE),Lois hydrauliques calcul de dimensionnement procedes de traitements.... (les plus utilises pour ma part)
Mecanique et Interactions (MI),Allemand  
Microelectronique Et Automatique (MEA),Une grande majorite des matieres du premier semestre de derniere annee (S9)
Genie Biologique et Agroalimentaires (GBA),La formation GBA etant generaliste beaucoup de formations ne paraissent pas utiles au quotidien surtout dans les metiers de la production. 
Informatique et Gestion (IG),Cours autours des RH
Sciences et Technologies de l'Eau (STE),Les enseignements ecologiques ne me servent pas dans mon metier mais ne sont pas inutiles pour autant.
Genie Biologique et Agroalimentaires (GBA),Aucunes 
Genie Biologique et Agroalimentaires (GBA),RAS
Microelectronique Et Automatique (MEA),Les enseignements trop theoriques de 4A En 3A on a eu les bases importantes mais les enseignements de 4A sont inutiles dans la realite des projets du monde professionnel.
Materiaux (MAT),Aucun 
Mecanique et Interactions (MI),Economie
Mecanique et Interactions (MI),Tout le blabla de 5A
Sciences et Technologies de l'Eau (STE),GEA (Probabilite avec les poissons) 
Mecanique Structures Industrielles (MSI - apprentissage),Comptabilite Expression Gestion Gestion de projet Droit RH Toutes les matieres du tier 'humain'. En particulier en apprentissage nous n'avons pas besoin de ces enseignements qui arrivent dans tous les cas trop tard.
Materiaux (MAT),economie et tout le tralala 
Genie Biologique et Agroalimentaires (GBA),Cours QVT tres renforce par rapport a l'aspect observe dans mon entreprise
Genie Biologique et Agroalimentaires (GBA),Aucun
Sciences et Technologies de l'Eau (STE),Non
Genie Biologique et Agroalimentaires (GBA),Les cours de :   - qualite de vie au travail   - nutrition 
Microelectronique Et Automatique (MEA),Les cours d'Economie ne m'ont pour l'instant pas ete d'une utilite fantastique. Mais c'etait quand meme interessant :)
Informatique et Gestion (IG),Je ne suis toujours pas sur de savoir ce qu'est un systeme d'information )
Sciences et Technologies de l'Eau (STE),Les cours de procedes biologiques/traitement pas parce que ca ne me sert a rien mais parce que l'enseignant est trop difficile a suivre. Je ne ferai jamais de traitement uniquement a cause de ca pour moi je n'ai rien appris dans ce domaine ce que je trouve dommage vu le nombre d'heures consacrees et le fait que je serai peut-etre amenee a en faire un jour.
Sciences et Technologies de l'Eau (STE),Honnetement aucun
Sciences et Technologies de l'Eau (STE),/
Mecanique et Interactions (MI),Automatique
Materiaux (MAT),physique stat
Materiaux (MAT),Enseignements sur les materiaux 
Mecanique et Interactions (MI),LV2: espagnol 
Systemes Embarques (SE - apprentissage),Comptabilite. present durant les trois annee avec trois nom differents mais chaque annee on avais a nouveau de la comptabilite et on a vu a chaque fois la meme choses. 
Mecanique Structures Industrielles (MSI - apprentissage),- Transfert thermique ( pas d'application dans notre domaine d'activite) - Gestion de Production ( utilisation de logiciel non-adapte) - Mathematique (niveau de mathematique excessivement haut en comparaison avec son utilisation dans monde du travail - 
Informatique et Gestion (IG),Je ne sais plus 
Systemes Embarques (SE - apprentissage),/
Eau et Genie Civil (EGC - apprentissage),La microbiologie dans mon cursus mais pas d'inutile pour d'autre. Peut etre un systeme de cours obligatoire pour tous (hydraulique beton etc.)  et des cours par choix comme la microbiologie ou l'hydroelectricite si il y a ou encore rdm
Informatique et Gestion (IG),Algorithme avance Maths de la decision Controverse (aussi appele Introduction aux Systemes d'informations mais qui n'a honteusement jamais ete une introduction a ces derniers)
Informatique et Gestion (IG),TOEIC  Je comprends la necessite de le valider pour obtenir le diplome mais c'est quand meme la facon la plus triste d'apprendre une langue
Genie Biologique et Agroalimentaires (GBA),Aucun tout est utile selon le metier.
Sciences et Technologies de l'Eau (STE),Pour mon metier : Microbiologie 
Sciences et Technologies de l'Eau (STE),Beaucoup de matieres nous ont fait passer du temps sur des choses deconnectees de la realite et du travail en BE (principalement en hydraulique en GDP et en MMI). Par consequent l'apprentissage des methodes simples utilisees couramment au travail n'est pas toujours suffisant.  J'aurais prefere une formation plus terre a terre sur les outils dont on doit disposer pour entrer sur le marche du travail.  Toutes les matieres ont leur sens dans la formation il faut selon moi plutot revoir leur contenu.
Genie Biologique et Agroalimentaires (GBA),Gestion de projet 
Genie Biologique et Agroalimentaires (GBA),Mecanique des fluides  
Sciences et Technologies de l'Eau (STE),le cours d'entreprenariat de 5eme annee 
Eau et Genie Civil (EGC - apprentissage),Inutiles est un grand mot mais la majorite des cours du tronc commun ingenieur n'ont pas d'application direct dans notre travail.
Informatique et Gestion (IG),Mathematiques de la decision
Microelectronique Et Automatique (MEA),Base de donnees Ondes Signaux Reseau 
Sciences et Technologies de l'Eau (STE),Communication
Microelectronique Et Automatique (MEA),Mon metier ne correspondant pas directement a la formation que j'ai realisee il est normal que tous les enseignements ne soient pas utiles. 
Sciences et Technologies de l'Eau (STE),L'enseignement de l'economie qui devrait completement revu car la maniere d'apporter les notions n'est pas en adequate avec le travail d'un ingenieur. Beaucoup trop d'heures sont allouee a l'ecologie a lors que la notion pourrait etre simplifier et aller dans l'essentiel. 
Informatique et Gestion (IG),Intoduction au systemes d'informations. 
Systemes Embarques (SE - apprentissage),Les enseignements administratifs droits et economie
Microelectronique Et Automatique (MEA),Innovation  durable et entrepreneuriat responsable
Materiaux (MAT),Physique statistique.
Mecanique et Interactions (MI),Economie
Informatique et Gestion (IG),Mathematiques avances : Preuves demonstration  
Microelectronique Et Automatique (MEA),Espagnol
Sciences et Technologies de l'Eau (STE),Espagnol OFE EEE.
Mecanique et Interactions (MI),Biomeca
Sciences et Technologies de l'Eau (STE),Aucun : ils peuvent tous etre utiles pour l'ensemble des personnes 
Mecanique et Interactions (MI),Aucun tous participent a la culture G et seront plus ou moins utile selon parcours pro Manque de travaux pratiques trop de theorie (formation d'avantage orientee futur thesards que ingenieur industrie)
Informatique et Gestion (IG),Tout les cours sont utiles et permettent a chacun de s'orienter vers ce qu'il prefere mais actuellement les cours d'espagnols sont les moins utiles. 
Materiaux (MAT),Pour le poste actuel tout ce qui touche a la programmation informatique et a la mecanique des milieux continus (la mecanique  de base  suffit amplement)
Sciences et Technologies de l'Eau (STE),Allemand obligatoire
Eau et Genie Civil (EGC - apprentissage),Enseignement repetitif (traitement des eaux et systeme d'adduction)
Eau et Genie Civil (EGC - apprentissage),Microbiologie  programmation  chimie methodes numeriques 
Systemes Embarques (SE - apprentissage),Expression orale formation generale etc ...
Sciences et Technologies de l'Eau (STE),Genie des procedes tel que presente dans la formation alors que tres interessant a la base mais peut etre qu'il faudrait changer la maniere d'enseigner cette discipline ... 
Informatique et Gestion (IG),Rien n'est vraiment inutile. Mais toute la partie Gestion ne me sert pas dans mon quotidien.
Mecanique Structures Industrielles (MSI - apprentissage),Comptabilite Electricite (pas autant pousse du moins)   
Genie Biologique et Agroalimentaires (GBA),Certains cours purement theorique (GdP thermodynamique). Ils sont en realites utiles dans la recherche mais trop peu employe dans mon metier
Systemes Embarques (SE - apprentissage),aucun
Systemes Embarques (SE - apprentissage),Anglais quand on a deja le niveau demande ? Plus serieusement certaines SHS etaient redondantes (droit du travail)
Informatique et Gestion (IG),LV2 Simulation d'entreprise Management des SI
Informatique et Gestion (IG),Toute la partie Gestion de IG BDNG TILE ...
Mecanique et Interactions (MI),Robotique
Informatique et Gestion (IG),Communication langues enseignements techniques.
Mecanique et Interactions (MI),Nsp
Mecanique Structures Industrielles (MSI - apprentissage),thermodynamique 
Microelectronique Et Automatique (MEA),Aucun
Informatique et Gestion (IG),Reseau (mais c'est surtout que j'ai rien suivi) Maths de la decision
Sciences et Technologies de l'Eau (STE),Voir resultats annees precedentes 
Microelectronique Et Automatique (MEA),Les cours de droits ne m'ont pas ete utiles actuellement. 
Mecanique Structures Industrielles (MSI - apprentissage),nucleaire electricite
Informatique et Gestion (IG),Aucun
Microelectronique Et Automatique (MEA),Difficile a dire puisque dans mon cas certains cours ne me sont d'aucune utilite pour mon travail mais d'anciens camarades de promo les exploitent dans le leur...
Mecanique Structures Industrielles (MSI - apprentissage),Ils sont tous utiles pour les connaissances generales 
Mecanique Structures Industrielles (MSI - apprentissage),Base de donnees
Microelectronique Et Automatique (MEA),Netvibes 
Systemes Embarques (SE - apprentissage),Aucun enseignement me parait inutile mais peut etre avoir le choix de specialiser ces etudes sur certaines matieres (Specialisation dans une formation deja specialise ?)
Informatique et Gestion (IG),Controveres (introduction aux systemes d'informations) Systemes multi-agents-SMA 
Materiaux (MAT),Z
Informatique et Gestion (IG),Math de la decision.
Materiaux (MAT),Droit 
Microelectronique Et Automatique (MEA),certain courts beaucoup trop theorique  
Genie Biologique et Agroalimentaires (GBA),Espagnol
Informatique et Gestion (IG),Espagnol
Mecanique Structures Industrielles (MSI - apprentissage),Transfert Thermique 
Informatique et Gestion (IG),Comptabilite
Informatique et Gestion (IG),MASI 
Informatique et Gestion (IG),Les mathematiques qui ne servent que si on veut faire de la recherche
Systemes Embarques (SE - apprentissage),- Cours de com  
Mecanique et Interactions (MI),L'insertion professionnelle arrive trop tard dans le cursus et n'est pas adapte  La communication certes il faut des enseignements  transversaux  mais autant qu'ils soient utiles et apprenants : un projet (organisation d'un evenement par exemple) ou une ouverture a l'ethique dans le milieu scientifique par exemple ?
Microelectronique Et Automatique (MEA),VHDL POO (de la maniere ou cela a ete fait)
